,nid,title,content,time,url,language,event
0,EnglishZhongGuoRiBao-2019-06-04 10:49-0,          Leaders call on US to move away from confrontation        ,"Facing the prospects of an escalation in China-United States trade disagreements, the world should work together to persuade Washington to refrain from unilateral moves, former political leaders urged at an international conference on Monday. ""Our main objective is trying to convince the Trump administration that this is not the best way to solve differences, neither between the US and China, neither between the US and Europe and the rest of the world,"" said Dominique de Villepin, former French prime minister, on the sidelines of the Belt and Road Forum for Interconnected Land-Sea Development held in Chongqing. US President Donald Trump ""considers every single competitor around the world might be a rival or a strategic enemy, and that has explained some of the decisions he has taken recently, for example on Mexico and the European Union"". China and the US have been engaged in a trade dispute for months. The tension has been escalating since they reached a deadlock, as Washington backtracked three times in the trade negotiations, according to a white paper on China's position on the trade talks released by the Chinese government on Sunday. The former prime minister of France said that European countries and China share a common interest in defending globalization and fighting against protectionism. He suggested the two sides should find a best possible solution to this ""trade war"" and implement some of the solutions between the EU and China in order to provide an example for the US. ""The message to the US should be that they can get more through cooperation than through confrontation. I believe Europe and China should open a new way and show a good example that cooperation is more fruitful than confrontation,"" he said. Following the US increasing tariffs on $200 billion worth of Chinese goods on May 10 from 10 percent to 25 percent, Washington has recently threatened to impose tariffs on other countries, including Mexico. Trump said last week that he would place 5 percent tariffs on all Mexican imports beginning June 10 - if Mexico cannot solve the issue of undocumented migrants - and gradually increase them to 25 percent. Former president of Slovenia Danilo Turk said that the principles China emphasized in the white paper, such as equality and respect, are important for the world and are basic principles for economic cooperation. ""The solution for this problem can only be multilateral. It is not only about China and the US, it is about everybody,"" Turk said. ""Tariffs are considered inadequate for the management of economic cooperation in the 21st century. We have to get together and figure out a system that ensures everybody wins on some important issues."" Mizengo Kayanza Peter Pinda, former prime minister of Tanzania, said China set a good example for other countries with its will to work together with the US to find solutions concerning differences and to reach a mutually beneficial agreement. ""The big issue is not the size of a country, but the legal position of each nation. Each nation, small or big, is a nation recognized internationally,"" Pinda said. Only by treating others equally and with respect can a country reach a win-win deal, he added. The international event attracted over 150 political leaders, experts and entrepreneurs from about 30 countries to discuss the development on the New International Land-Sea Trade Corridor.",2019-06-04 10:49,https://www.chinadaily.com.cn/a/201906/04/WS5cf5dc3ca310519142700f37.html,chinese,South China Sea dispute
1,EnglishZhongGuoRiBao-2019-06-03 08:01-1,US throwing its weight around undermines regional stability," There was good news and bad news from the Shangri-La Dialogue in Singapore.  The good was that both the Chinese and United States militaries expressed the resolve to prevent their countries' inflammatory trade tit-for-tat from hijacking their ties.  The bad was they will continue looking at each other with suspicion, which means relations will stay prone to misjudgments.  ",2019-06-03 08:01,http://www.chinadaily.com.cn/cndy/2019-06/03/content_37476721.htm,chinese,South China Sea dispute
2,EnglishZhongGuoRiBao-2019-06-02 22:02-2,US throwing its weight around undermines regional stability: China Daily editorial,"There was good news and bad news from the Shangri-La Dialogue in Singapore. The good was that both the Chinese and United States militaries expressed the resolve to prevent their countries' inflammatory trade tit-for-tat from hijacking their ties. The bad was they will continue looking at each other with suspicion, which means relations will stay prone to misjudgments. Both parties have portrayed the meeting between Chinese Defense Minister Wei Fenghe and US acting Secretary of Defense Patrick Shanahan Friday as ""constructive"", and reiterated their mutual commitment to positive engagement. However, the most reassuring take-away from the past weekend, the annual Shangri-La Dialogue appeared very much what it has been for years, a venue for articulating prepared messages. The key message Chinese participants brought to Singapore was: ""The United States should not underestimate China's determination, will and capabilities to safeguard its sovereignty and territory."" Their US counterparts sounded like they were on a different frequency. Though he stopped short of calling out Beijing by name, Shanahan bashed ""someone in our region"" for employing a ""toolkit of coercion"", which he said includes island-building, deploying advanced weapons systems in disputed areas, engaging in predatory economics and the state-sponsored theft of military and civilian technologies. These allegations are reminiscent of the escalating war of words over trade, from which Singapore Prime Minister Lee Hsien Loong saw a hardening of attitudes to each other, and observed: ""The fundamental problem between the US and China is a mutual lack of strategic trust."" Such mistrust cannot be more obvious than in the US Defense Department's Indo-Pacific Strategy Report, which describes the China-US competition in the region as ""defined by geopolitical rivalry between free and repressive world order visions,"" reinforcing the Cold War-style notion that Beijing is a threat to the current world order. Since the report is based on misrepresentation of Beijing's strategic purposes, there is no way it can present a cool-headed analysis of the region's state of affairs. The hostility it perceives in Beijing's corresponding moves will only serve to increase the likelihood of a misjudgment. As the report highlights the belief that ""A free and open Indo-Pacific rests on a foundation of mutual respect, responsibility, priorities, and accountability"", Washington may want to ask what it is contributing to such a foundation. Are its words and deeds regarding Taiwan and the South China Sea conducive to it?",2019-06-02 22:02,https://www.chinadaily.com.cn/a/201906/02/WS5cf3d6e1a3104842260bf0da.html,chinese,South China Sea dispute
3,EnglishZhongGuoRiBao-2019-06-01 06:54-3,Shangri-La Dialogue should not be of the deaf," A show of strength between US Acting Secretary of Defense Patrick Shanahan and Chinese Defense Minister Wei Fenghe. That is what many assume the Shangri-La Dialogue in Singapore will be. But it wouldn't have been that way if the United States had played by the rules and honored its word.  Were it not for the rising tensions between China and the US, stoked by their trade dispute that has prompted many countries in the region to choose between Beijing and Washington, China would have continued to let the US play solo at the Singapore event.  But since things have played out differently, Beijing has to take advantage of the opportunity to counter the canards being spread by the US about China and its peaceful rise. That Wei is the highest ranking Chinese official to participate in the three-day dialogue that started on Friday since 2011 makes it clear how important the event has become for China.  ",2019-06-01 06:54,http://www.chinadaily.com.cn/cndy/2019-06/01/content_37476523.htm,chinese,South China Sea dispute
4,EnglishZhongGuoRiBao-2019-05-31 21:35-4,Shangri-La Dialogue should not be of the deaf: China Daily editorial,"A show of strength between US Acting Secretary of Defense Patrick Shanahan and Chinese Defense Minister Wei Fenghe. That is what many assume the Shangri-La Dialogue in Singapore will be. But it wouldn't have been that way if the United States had played by the rules and honored its word. Were it not for the rising tensions between China and the US, stoked by their trade dispute that has prompted many countries in the region to choose between Beijing and Washington, China would have continued to let the US play solo at the Singapore event. But since things have played out differently, Beijing has to take advantage of the opportunity to counter the canards being spread by the US about China and its peaceful rise. That Wei is the highest ranking Chinese official to participate in the three-day dialogue that started on Friday since 2011 makes it clear how important the event has become for China. It was in Singapore last year that James Mattis, then US secretary of defense, proposed the ""Indo-Pacific strategy"" to woo India and some Southeast Asian countries to join Washington in containing China. But the fact that the targeted countries have not bitten the US' bait should remind Shanahan that these countries' close trade and cultural relations with China are the bedrock of regional peace and prosperity, and none of them would sacrifice its development for non-existing threats. Although China has welcomed the US to contribute to regional cooperation and stability, the US has continued driving wedges between China and its neighbors. As part of its offensive design, US ships have already conducted two ""freedom of navigation"" operations near China's islands in the South China Sea this month, when usually they conduct one every two months or so. The US' military tactics, however, have not hampered China's development and its peaceful rise. Yet Washington needs to pat its own back to win the support of its allies to strengthen its presence in the region and ask Congress to hike the Pentagon's budget. If China indeed poses a threat to the region, why inter-military communication and exchanges between China and the US were so efficient and productive when Mattis was in office, and why was Mattis received by President Xi Jinping in Beijing in June 2018, and why did he meet with Wei three times in five months last year? Considering the first meeting between Shanahan and Wei is constructive, it could prompt the two sides to make efforts to strengthen communication, explore new areas of cooperation, and deepen mutual understanding and trust between their militaries.",2019-05-31 21:35,https://usa.chinadaily.com.cn/a/201905/31/WS5cf12d90a3104842260bef23.html,chinese,South China Sea dispute
5,EnglishZhongGuoRiBao-2019-05-25 08:30-5,Trump's Huawei action has deep consequences,"We need to look beyond the outrage and indignation created by US President Donald Trump's executive order effectively banning US companies from doing business with Huawei. If we focus only on indignation about Huawei, then we allow ""a leaf to obscure the view of Mount Tai"", as the saying goes. Important as Huawei is, there are much bigger issues at stake for China's trade and investment. The executive order follows the precedent set when Trump used vague security grounds to unilaterally impose tariffs on steel. This was the first warning shot — and to their discredit, affected economies tried to tackle the consequences individually rather than by banding together and working within the established global rules-based order. This uncoordinated response laid waste to that order and set a direct path to the executive order that has hit Huawei hard. But the consequences are wider than just Huawei, because it involves an international logistics chain being bullied and intimidated by a single country. No one, friend or foe, is immune to this rogue-like behavior. Let's start at the beginning. The charges against Huawei have not been substantiated, and despite offers by Huawei for a full and open inspection the offer has not been taken up. Yet the ""security threat"" narrative continues. The security and compliance concerns about Huawei are a fig leaf designed to distract from a much broader agenda. Huawei is the only serious competitor to Apple iPhone in terms of quality, features and price. Huawei takes a leadership position in 5G applications and AI development. The attempt to destroy Huawei is an attempt to destroy competition to US industry and products. It is a vicious form of protectionism that goes beyond simple tariffs. It increasingly appears that part of ""Make America Great Again"" involves denying the right of China to continue to advance and improve living standards. This is also seen in statements that demand China abandons its Made in China programs. For what reason would they have to do this except hold back China's progress? This executive order opens the door to de-facto unilateral sanctions. The refusal to supply Huawei today is an unofficial sanction and tomorrow it may be applied to another Chinese company, or a European competitor for an American product. How easy it is to tweet, or draft an executive order, that applies de-facto sanctions to Chinese companies listed on NASDAQ and the NYSE. No need to attack them directly, because an executive order can sever their supply chains or prevent fund transfers through US co-respondent banks. The withdrawal of Beijing-based Kunlun from the US market following US government pressure is an early precursor of this danger. Shall we apply this to electric cars? To solar panels? To washing machines, air conditioners and refrigerators? To Chinese investment in international business? To companies that are supplying raw materials to China — materials like iron ore, which are suddenly deemed strategic? Despite not being a signatory to treaties like the United Nations Convention on the Law of the Sea, the United States is fond of scolding China about the need to observe the global rules-based order while reserving for itself the right to undermine, ignore and sabotage those very rules. It is a mistake to think the Huawei issue is just between the United States and China. These practices could be just as easily applied to Europe, South America, the UK and Australia. The solution lies in resolute, coordinated and cooperative support for the existing structures of the global rules-based order, including WTO dispute resolution mechanisms. Business councils and business representatives, along with organizations like the Silk Road Chamber of International Commerce, must be strong supporters and advocates. This is not just about Huawei or China. It is about the survival of a global rules-based trading environment from which all benefit. Daryl Guppy is an international financial technical analysis expert and special consultant to Axicorp.",2019-05-25 08:30,https://www.chinadaily.com.cn/a/201905/25/WS5ce88c88a3104842260bdb45.html,chinese,South China Sea dispute
6,EnglishZhongGuoRiBao-2019-05-13 07:14-6,Asian values needed in new context,"Guanxi, compadrazgo and bapakism. Three words from China, the Philippines and Indonesia that encapsulate the same values of the vast continent through the ages－a shared belief in the importance of the family and the community over the individual. These values, rooted on Asia's culture and history and centered on consensus, social harmony, stability and discipline, are more important and relevant than ever in the face of challenges－such as protectionism and terrorism－confronting the world today. Joefe Santarita, dean of the Asian Center at the University of the Philippines, said Asian values promote consensual approach and communitarianism rather than individualism, and they prioritize social order and harmony as well as respect for elders, discipline and a paternalistic state along with the primary role of government in economic development. ""Asian values are the salient ingredients on how to learn to work together through trust and consequently promote globalization,"" Santarita told China Daily. He cited China's guanxi, a cultural concept that stresses deep personal connections and maintaining relations. ""Guanxi is a clear manifestation of a success story of a cultural element that is aptly applied in the business sector. Trust is a fundamental element for Chinese businessmen who have engaged in commercial partnerships and international trading systems for centuries,"" he said. Santarita said a similar concept can also be found in other Asian countries, citing the Philippines' compadrazgo and Indonesia's bapakism as examples. Compadrazgo, a Spanish word that literally translates to ""co-fatherhood"", is based on a kinship ritual that is formed after a child gets baptized into the Roman Catholic faith. For the predominantly Catholic and close-knit Philippine society, the godfather (known as the padrino) is part of one's extended family and is expected to help and protect his godchild. The godchild is expected to respect and be loyal to the padrino. Bapakism is derived from the Indonesian word for ""father"". When used in Indonesian business, bapakism demands great respect and obedience to one's superior. The manager in his role as the company's bapak is expected to look after and care for his employees. Although Asian values are steeped in an ancient culture and tradition, it was only in the 1990s that this concept drew global attention. This was partly due to Asian leaders like the late Singaporean prime minister Lee Kuan Yew's and current Malaysian Prime Minister Mahathir Mohamad's championing of Asian values as the ideal way to govern their countries. Lee and Mahathir maintained that in Asia, social order and strong governance are keys to a stable and wealthy society. This type of governance succeeded in fostering rapid growth in Singapore, Malaysia, South Korea and China. Santarita said strong Asian leaders are effective because they serve their constituents and value mutual respect and discipline. Analysts said the Asian emphasis on community and harmony can help resolve some of the world's most pressing international issues such as territorial disputes, climate change and sustainable economic development. Santarita cited the current dispute over the South China Sea which sometimes strains relations between nations. He said the claimants can opt to work together to develop and share resources offered by the South China Sea's blue economy. ""Learning to work together in an orderly, high trust level, and supported by diverse interest groups will prevent conflicts among stakeholders in the South China Sea,"" Santarita said. He said Asia's emphasis on ""respect for authority, respect for the environment and the discipline to control the use of resources"" will also see Asian leaders pursuing a more eco-friendly development path and honor their commitments to the Paris climate agreement.",2019-05-13 07:14,https://www.chinadaily.com.cn/a/201905/13/WS5cd8a8c5a3104842260bb2c2.html,chinese,South China Sea dispute
7,EnglishZhongGuoRiBao-2019-05-11 10:53-7,          Military: US report distorts China's strategic intentions        ,"The Chinese military resolutely opposes the Pentagon's new report on China's military development, calling the annual report inaccurate and irresponsible, and stating that it distorted China's strategic intentions, a spokesman for the Ministry of National Defense said late on Thursday night. The US Defense Department claimed in the report delivered to the US Congress that the Chinese military has been stealing defense secrets from the US, and it is being more aggressive in the South China Sea and the Taiwan Straits. The People's Liberation Army might also build new military bases around the world to expand its military presence, it claimed. Senior Colonel Ren Guoqiang, a spokesman of the Chinese Defense Ministry, slammed the report's claims, calling them irresponsible and contradictory of the facts. Ren said the report distorted China's strategic intentions, and recklessly commented on China's rightful military development and necessary actions to protect its sovereignty and security interests. ""The Chinese military resolutely oppose these claims,"" he said. The US has been publishing the annual report－Military and Security Developments Involving the People's Republic of China－since 2000, and ""it has damaged Sino-US mutual trust, and harmed the atmosphere for developing the two countries' military relations and bilateral ties,"" Ren added. He urged the US side to ""rationally and objectively view China's defense and military construction, stop publishing similar reports and take concrete actions to ensure the stable development of Sino-US military relations and bilateral ties"". As for the report's comments regarding Taiwan, Ren said Taiwan is an inseparable part of China, and ""China's reunification will, and must be, fulfilled"". ""China urges the US side to abide by the one-China policy and the three joint communiques, and properly handle the Taiwan question,"" he said. ""China's military has the will, confidence and ability to protect its national sovereignty and territorial integrity, as well as maintain peace and security in the Taiwan Straits."" Regarding the report's comments on the PLA's activities in the South China Sea, Ren said China is peacefully resolving disputes in the region by negotiating directly with related parties. ""Countries in the region have the confidence, wisdom and ability to handle differences, maintain peace and promote prosperity,"" he said. ""On the other hand, the US claims to be safeguarding peace, but is actually bolstering its military presence, and frequently sends warships and aircraft to provoke tension in the South China Sea."" ""These actions have seriously damaged regional peace and security, as well as the security interests of countries in the region,"" he said. When commenting on the US' recent joint military drill with Japan, India, and the Philippines in the South China Sea, Chinese Foreign Ministry spokesman Geng Shuang said on Thursday that the actions and policies of related parties should ""support peace, stability and development in the region, not be against it"".",2019-05-11 10:53,https://africa.chinadaily.com.cn/a/201905/11/WS5cd6393da3104842260bb165.html,chinese,South China Sea dispute
8,EnglishZhongGuoRiBao-2019-05-08 07:01-8,US pattern of lawless behavior will inform how it treats Arctic," The Chinese Foreign Ministry and investors may want to say ""Thank You"" to United States Secretary of State Mike Pompeo for declaring his country welcomes Chinese investment in the Arctic region. Although that welcome was conditional - reserved for investments that are ""transparent"", and ""reflect economic interests, not national security interests"", as he told the Arctic Council meeting in Rovaniemi, Finland.  At least he showed some deference to the jurisprudential fact that no existing international convention applicable to the Arctic supports preventing any country from benefiting from development of the Arctic.  Some parts of the Arctic Ocean form part of the high seas and international seabed area. This means non-Arctic nations enjoy extensive rights in scientific research, navigation, overflight, fishing, laying of submarine cables and pipelines as well as resource exploration and exploitation in these areas.  As a signatory to the 1925 Spitsbergen Treaty, a member of the International Arctic Science Committee, and accredited observer to the Arctic Council, China has high stakes in Arctic affairs. The emerging Arctic shipping channel, which may dramatically cut sailing time between the Pacific and Atlantic, for one, will prove a significant cost-cutter for Chinese foreign trade. Not to mention the country's special commitment to Arctic peace as a permanent member of the United Nations Security Council.  Unfortunately, Pompeo's display of sensibleness proved ephemeral, as soon as his fixation on China took over.  ""Do we want the Arctic Ocean to transform into a new South China Sea, fraught with militarization and competing territorial claims?"" he asked his audience, while throwing Washington's hat in that ring with his assertion that the US is strengthening its force presence in the region.  As the white paper China issued in 2018 indicates, nothing it pursues in the Arctic is beyond what it is entitled to under the existing international legal framework. And its participation would be under principles of ""respect, cooperation, win-win result and sustainability"".  If Washington is worried about territorial claims in the Arctic, it should turn to other Arctic Council members.  And it should rest assured that no matter how Beijing defines its relationship with the Arctic, ""near-Arctic"" or not, it will never be a party in any Arctic territorial dispute.  The Pentagon is to present a new defense strategy for the Arctic by June 1. If the past is any guide to the future it will merely continue the pattern of aggressive behavior the US has shown elsewhere, including in the South China Sea.  ",2019-05-08 07:01,http://www.chinadaily.com.cn/global/2019-05/08/content_37466362.htm,chinese,South China Sea dispute
9,EnglishZhongGuoRiBao-2019-05-07 21:03-9,US pattern of lawless behavior will inform how it treats Arctic: China Daily editorial,"The Chinese Foreign Ministry and investors may want to say ""Thank You"" to United States Secretary of State Mike Pompeo for declaring his country welcomes Chinese investment in the Arctic region. Although that welcome was conditional — reserved for investments that are ""transparent"", and ""reflect economic interests, not national security interests"", as he told the Arctic Council meeting in Rovaniemi, Finland. At least he showed some deference to the jurisprudential fact that no existing international convention applicable to the Arctic supports preventing any country from benefiting from development of the Arctic. Some parts of the Arctic Ocean form part of the high seas and international seabed area. This means non-Arctic nations enjoy extensive rights in scientific research, navigation, overflight, fishing, laying of submarine cables and pipelines as well as resource exploration and exploitation in these areas. As a signatory to the 1925 Spitsbergen Treaty, a member of the International Arctic Science Committee, and accredited observer to the Arctic Council, China has high stakes in Arctic affairs. The emerging Arctic shipping channel, which may dramatically cut sailing time between the Pacific and Atlantic, for one, will prove a significant cost-cutter for Chinese foreign trade. Not to mention the country's special commitment to Arctic peace as a permanent member of the United Nations Security Council. Unfortunately, Pompeo's display of sensibleness proved ephemeral, as soon as his fixation on China took over. ""Do we want the Arctic Ocean to transform into a new South China Sea, fraught with militarization and competing territorial claims?"" he asked his audience, while throwing Washington's hat in that ring with his assertion that the US is strengthening its force presence in the region. As the white paper China issued in 2018 indicates, nothing it pursues in the Arctic is beyond what it is entitled to under the existing international legal framework. And its participation would be under principles of ""respect, cooperation, win-win result and sustainability"". If Washington is worried about territorial claims in the Arctic, it should turn to other Arctic Council members. And it should rest assured that no matter how Beijing defines its relationship with the Arctic, ""near-Arctic"" or not, it will never be a party in any Arctic territorial dispute.",2019-05-07 21:03,https://usa.chinadaily.com.cn/a/201905/07/WS5cd18219a3104842260ba5a0.html,chinese,South China Sea dispute
