,nid,title,content,time,url,language,event
0,huanqio-2018-10-11 10:08-0,在南海，中国不战而屈人之兵 南海非美国后院 ,"　　【环球网军事综合报道】美国《华盛顿邮报》10月9日文章，原题：特朗普总统正如何帮助中国在南海获胜 多年来，中国一直与美国在南海争斗。中国之道是遵循古老的孙子兵法“不战而屈人之兵”。中国人一直是每次迈出一小步：在这里开垦个岛屿，在那里修建一条飞机跑道，在争议海域临时部署一座石油钻塔，设置一个行政区等。每步都旨在形成一种“小现实”，却不会引发其他方的军事反应。 　　鉴于中国的地缘政治目标合情合理，其政策完全合理。北京如今在南海的做法，与美国19世纪和20世纪初寻求在周边海域确立战略支配地位时在加勒比海的做法很类似。对南海的有效控制将令中国能自由出入更广阔的太平洋并进一步“软化”台湾地区，最重要的是，这正令中国成为一个“两洋”海军强国。实际上，南海是通往印度洋的门户，而后者是21世纪至关重要的水域，相当于中东油田和东亚各大都市之间的全球能源“州际公路”。中国在南海的行动与其打造从印度洋到苏伊士运河和东地中海的“商业帝国”密不可分。 　　从中国视角看，美国才是好斗的霸权国家。美国海军从遥远的北美驶入南海，而后者如同加勒比海之于美国，是中国的“后院水域”。美国须直面一种重要现实：西太平洋不再是美海军一家独大的“湖泊”，中国重获大国身份必定带来一种更为复杂的多极状况。(如今)美国必须在印太地区为中国的空军、海军力量至少腾出一定空间，而关键问题在于腾出多少空间。 　　谨记，美国在南海周边的主要盟友越南和菲律宾别无选择，只能与体量庞大、经济上占主导地位且地理上更靠近的中国和睦相处。这些国家需要美国扮演制衡中国的角色，而非彻底成为中国的敌人。他们深知美国在亚洲的强大军事存在终究具有可选择性，所以中国才是在地区行事的核心考量要素。特朗普已向亚洲盟友传递出更多不确定性。这可能迫使这些国家决定单独与中国达成谅解。此类过程将悄然进行，鲜被承认。但总有一天，我们(美国)将被唤醒并意识到亚洲已发生不可逆转的变化。
",2018-10-11 10:08,http://mil.huanqiu.com/world/2018-10/13230537.html,chinese,南海争端
1,huanqio-2018-11-17 04:00-1,美称继续在南海“飞航自由” 中方回击,"　　【环球时报驻新加坡特约记者 辛斌 环球时报记者 李司坤】“我们曾经多次问美方或者声称南海航行自由有问题的人，请拿出证据来，证明有哪个国家的哪艘船、哪架飞机、什么时候在南海航行或者飞越时遇到了问题？但到目前为止，没有任何人给出一个明确的答案。”中国外交部发言人华春莹16日说，“由此可见，所谓南海航行与飞越自由根本就是一个不存在的伪命题”。当天，她用这番话“回怼”美国副总统彭斯的表态。彭斯称，南海不属于任何一个国家，美国将继续在国际法允许的范围内行使航行和飞越自由。 　　英国路透社称，彭斯周五的讲话显然会激怒中国。就在一天之前，在新加坡参加东盟系列会议的菲律宾总统杜特尔特曾警告美国及其他国家，应该接受“南海已经在中国手中”这一现实，以避免地区紧张局势。他敦促这些国家停止用军事活动挑衅中国。根据美国海军网14日的消息，美国双航母攻击群正在“菲律宾海”进行演习。 　　事实上，菲律宾并不是发出对美国不满声音的唯一南海域内国家。据新加坡《海峡时报》15日报道，马来西亚总理马哈蒂尔在东盟会议期间谈及区域安全问题，他向美国表示，不希望在东盟水域看到第七舰队等大型军舰，因为“大型军舰会造成事件，引发紧张局势”。新加坡总理李显龙15日也从侧面表达了对美国在亚太地区举动的担忧，他说，东南亚国家有一天可能会不得不在美国和中国之间做出选择，“希望这一天不会太快到来”。 　　“最近美方有人不时发出各种声音，大家都在听，也都在看”，华春莹16日说，中方的立场非常明确，愿与地区国家一道，坚定维护各国依据国际法所享有的真正的航行与飞越自由，同时坚决反对那些打着所谓航行自由的幌子损害南海沿岸国主权与安全利益的行为。她还请在记者会上提出相关问题的记者“提醒一下美方有关人士，美国到现在还没有批准《联合国海洋法公约》”。华春莹说：“如果美方能够尽早批准并遵守《公约》，我想将更加有利于维护南海地区的和平稳定。”
 　　《菲律宾每日问询者报》16日报道称，东盟国家领导人在第33届东盟峰会上发表主席声明，重申促进南海和平稳定的重要性。声明说：“我们对东盟与中国之间不断改善的合作表示热烈欢迎，并对在相互商定的时间表上早日缔结有效的‘南海行为准则’(COC)的实质性谈判取得进展感到鼓舞。”
",2018-11-17 04:00,http://world.huanqiu.com/exclusive/2018-11/13569663.html,chinese,南海争端
2,huanqio-2018-08-23 09:01-2,日本准航母在南海频繁活动 专家:大规模介入南海," 日本加贺号直升机航母 　　【环球时报报道 驻日本特约记者 郭伟民】日本海上自卫队21日发布消息称，本月26日到10月30日，将派遣包括日本最大吨位战舰、准航母“加贺”号在内的3艘战舰前往西太平洋和印度洋，将在印度、印尼、新加坡、斯里兰卡、菲律宾5国停靠，与各国海军进行联合训练。报道称，此次行动将有800名官兵参加。 　　日本NHK电视台称，此举旨在牵制在南海开展活动的中国。报道称，日本海上自卫队还将调整日程，以便与在附近海域航行的美国海军舰艇编队进行联合训练。该报道还称，海上自卫队在南海和印度洋进行长期训练实属罕见，此举被认为是日本意在与美军联手牵制中国的动向。海上自卫队最高负责人海上幕僚长村川丰表示：“我们认为，此次行动是日本政府正在推进的自由和开放的印太战略的重要内容，与确保这一地区的和平与稳定的目的一致。” 　　中国军事专家李杰认为，日本派遣“加贺”号这个级别的大型先进战舰进入南海长期活动标志着日本体系化、大规模介入南海的动向，是日本欲在亚太及南海问题上充当美国副手的象征，具备标志性意义。对于这一动态应该高度关注。 　　“加贺”号满载排水量2.7万吨，拥有机库、直通甲板和升降机，可搭载10余架反潜直升机，实质上是一艘以反潜为主要任务的“准航母”。未来如果日本海上自卫队在该战舰上搭载F-35B战机，那它就将成为一艘真正的航母。
",2018-08-23 09:01,http://mil.huanqiu.com/world/2018-08/12803221.html,chinese,南海争端
3,huanqio-2019-04-29 14:34-3,舰船对撞、持枪叫骂，越南与印尼在南海爆发冲突！,　　4月28日，印尼海军第一舰队司令部司令Yudo Margono向印尼媒体证实，一艘越南渔政船KN-213与印尼海军帕西姆级护卫舰381 KRI Tjiptadi“提普塔迪”号在南海发生碰撞。 　　在印尼军方公布的视频中，越南渔政船在主动撞上印尼海军护卫舰后，印尼海军士兵持枪与越南渔政人员进行对峙，并使用木棍等工具击打越南渔政船，印尼海军士兵还大声叫骂越南渔政人员，并对他们竖起了中指。 　　随后，印尼军方在声明中称，发现越南渔船在该水域进行“非法捕捞”后，印尼海军试图将其扣押。在扣押过程中，印尼护卫舰与附近的越南渔政船发生碰撞。,2019-04-29 14:34,http://world.huanqiu.com/article/2019-04/14811651.html,chinese,南海争端
4,huanqio-2019-05-06 16:12-4,美舰又闯南海，外交部：南海局势趋稳向好，敦促美方停止挑衅,"　　5月6日，外交部发言人耿爽主持例行发布会。有记者就5月6日两艘美国军舰闯入中国南沙海域一事提问。 　　耿爽回应称，5月6日，美国军舰未经中国政府的允许，擅自进入了中国南沙群岛南薰礁和赤瓜礁邻近海域。中国海军依法对美舰进行了识别查证，并予以警告驱离。美方军舰有关行为侵犯了中国主权，破坏了有关海域的和平、安全和良好秩序。中方对此表示强烈不满和坚决反对。当前在中国和东盟国家不断努力下，南海形势不断趋稳向好。在这种情况下，中方敦促美方停止此类挑衅行为，尊重中国的主权和安全利益，尊重地区国家维护南海和平稳定的努力。同时中方也将继续采取一切必要的措施捍卫国家主权安全，维护南海的和平稳定。 　　此前的2月11日，美国“斯普鲁恩斯”号和“普雷贝尔”号军舰，未经中国政府允许，擅自进入中国南沙群岛仁爱礁和美济礁邻近海域。当时，中国海军依法对美舰进行了识别查证，并且予以了警告驱离。 　　外交部发言人华春莹2月11日当天对此表示，美方军舰的有关行为侵犯中国的主权，破坏有关海域的和平、安全和良好秩序。中方对此表示强烈的不满和坚决的反对。中国对南沙群岛及其附近海域拥有无可争辩的主权，中方一向尊重和维护各国依据国际法在南海享有的航行与飞越自由。但是坚决反对任何国家假借航行与飞越自由之名，损害沿岸国主权和安全。
",2019-05-06 16:12,http://world.huanqiu.com/article/2019-05/14846300.html,chinese,南海争端
5,huanqio-2019-03-29 09:22-5,美战机10天两次飞南海 国防部:南海“军事化”推手,　　【环球网军事3月29日报道】3月28日下午，国防部举行例行记者会，国防部新闻局局长、国防部新闻发言人吴谦大校答记者问。 　　记者：美国的太平洋空军司令部日前主动披露两架B-52H战略轰炸机于3月中旬飞入到南海，完成训练任务后返回基地，这也是美军10天内连续两次飞越南海。请问中方有何看法？,2019-03-29 09:22,http://mil.huanqiu.com/world/2019-03/14630072.html,chinese,南海争端
6,huanqio-2019-05-06 08:50-6,罗援：南海不叫“西美国海” 美没资格指手画脚,"　　美军的最佳选择就是“甭介入” 　　罗援 　　美国国防部日前向国会提交2019年度中国军力报告，继续夸大、抹黑中国的军事活动。 　　美国国防部每年发布这样一版中国军力报告，无非是渲染“中国军事威胁论”，为敌视中国、警惕中国造势，为美国扩展军力寻找借口。可是美国国防部怎么好意思开这个口？美国2019财年的军费预算已经高达7160亿美元，中国同期军费预算只有1766亿美元。中国正在裁减军队员额30万，美国政府却要在2018年军队员额的基础上再扩军2万。到底是谁在威胁谁？实际上并不是什么“中国威胁论”，而是“美国威胁论”，是“中国被威胁论”。 　　报告称中国正快速提升军力，寻求从多个领域缩小同美军的差距。如果真是如此，那就对了。那意味着维护世界和平的力量在增长，遏制战争的力量在强大。中国已经30年没有打过一场战争，这是联合国五大常任理事国中的唯一，而不是唯二。 　　美方特别关注中国正在提升反介入与区域拒止能力，以及谋求水下作战优势等。但在中国的军事词典中根本没有什么“反介入”和“区域拒止”这样的词汇，类似的词汇就是“反侵略战争”。若要不被“拒止”，就别“介入”，不管是水上还是水下，中国人民解放军都会将侵略者拒之门外。
 　　报告重点谈到中国在南海的所谓“军事化”行动，称中国一直以来的军事战略都主要针对台湾。在国际上，中国南海被称为“南中国海”，不是叫“西美国海”，美国凭什么不远万里到南海来炫耀武力？美国在自己家门口“航行自由”没人管，到别人家门口航行就要遵守规则。迄今为止，美国连《国际海洋法公约》都没签署，有什么资格在南海问题上指手画脚？美国可以在夏威夷、关岛甚至别的国家驻军，中国在属于自己的岛礁上进行自卫设施建设有什么不可以的？
 　　至于台湾问题，那更是中国的内政。我们多次承诺“中国人不打中国人”。如果台湾方面承认自己是中国人，两岸无战事。如果台湾方面不承认自己是中国人，又霸占着中国的宝岛台湾，我们必须依法行事，这个法就是《反分裂国家法》。至于具体怎么做，那是中国内政，美国无权过问。
 　　美国国防部的报告还再次拿中国窃取美国尖端技术说事，说中国以非法手段窃取他国尖端科技，谋求解放军快速现代化，并称中国首艘自制航母或在今年年底服役。在知识全球化时代，这简直就是一个笑话。中国的四大发明是中国人民的原创吧，美国现在不是仍然在分享？这是不是窃取？中国创造的“两弹一星”，是在国际社会对中国进行严格封锁的状态下，我国科研人员自力更生的产物吧？实践证明，中国人民有充分的聪明才智创造别人想象不到的奇迹。
",2019-05-06 08:50,http://mil.huanqiu.com/world/2019-05/14843637.html,chinese,南海争端
7,huanqio-2018-12-29 08:33-7,2018十大国防新闻:航母海试、南海阅兵都在这里,　　导 言 　　想当年，金戈铁马，气吞万里如虎； 　　看今日，朝食不免胄，夕息常负戈。 　　沐浴着新时代的春风，行进在中国特色强军之路上，人民军队自我革新、主动求变，劈波斩浪、奋勇前行。 　　每一个突破、刷新，历史都用它的如椽巨笔记录下了浓墨重彩的一刻：从南海海上阅兵到第二艘航母出海，成果举世瞩目；从我军首批新军事训练大纲颁发到首次面向社会公开招考文职人员，突破有目共睹；从公布《中华人民共和国英雄烈士保护法》到全国交通运输行业军人依法优先工作格局形成，举措振奋人心。 　　这一年，人民军队深入贯彻习近平强军思想，强化练兵备战鲜明导向，提高军事训练实战化水平，国防实力和人民群众的安全感持续增强；这一年，国防和军队改革向纵深推进，在主要领域迈出历史性步伐、实现历史性突破、取得历史性成就；这一年，不断浓厚尊崇军人的社会氛围，官兵的使命感、获得感、荣誉感显著增强。 　　我们的军队是人民军队，我们的国防是全民国防。我们评选十大国防新闻，就是希望和大家分享这一年国防和军队建设的新成就，唤起大家对军队、对国防的共同关注。 　　中国这艘“复兴号”巨轮已行至关键航段，体量越大、离目标越近，阻力和风险就越大，越需要更高水平的安全。国家强大需要强大国防来支撑，而强大国防，需要每一个人积极支持。 　　1 军事政策制度改革  　　11月13日至14日，中央军委政策制度改革工作会议在京召开。中共中央总书记、国家主席、中央军委主席、中央军委深化国防和军队改革领导小组组长习近平出席会议并发表重要讲话。他强调，要深化我军党的建设制度改革，创新军事力量运用政策制度，重塑军事力量建设政策制度，推进军事管理政策制度改革。 　　2 中央军委举行2018年开训动员大会  　　1月3日，中央军委隆重举行2018年开训动员大会，中共中央总书记、国家主席、中央军委主席习近平向全军发布训令，号召全军贯彻落实党的十九大精神和新时代党的强军思想，全面加强实战化军事训练，全面提高打赢能力。 　　3 中央军委在南海海域举行海上阅兵  　　4月12日，中央军委在南海海域隆重举行海上阅兵，展示人民海军崭新面貌，激发强国强军坚定信念。中共中央总书记、国家主席、中央军委主席习近平检阅部队并发表重要讲话。这是新中国历史上规模最大的海上阅兵。 　　4 发布新修订的共同条令  　　据《解放军报》4月16日报道，中央军委主席习近平签署命令，发布新修订的《中国人民解放军内务条令（试行）》《中国人民解放军纪律条令（试行）》《中国人民解放军队列条令（试行）》（统称共同条令），自2018年5月1日起施行。 　　5 我军首批新军事训练大纲正式颁发  　　据《解放军报》1月26日报道，经中央军委批准，我军首批新军事训练大纲正式颁发，标志着新体制下军事训练内容体系构建取得重大阶段性成果，为新时代军事训练提供了重要法规遵循。 　　6 组建退役军人事务部  　　4月16日，退役军人事务部挂牌成立。其主要职责是，拟订退役军人思想政治、管理保障等工作政策法规并组织实施，褒扬彰显退役军人为党、国家和人民牺牲奉献的精神风范和价值导向，负责军队转业干部、复员干部、退休干部、退役士兵的移交安置工作和自主择业退役军人服务管理、待遇保障工作，组织开展退役军人教育培训、优待抚恤等，指导全国拥军优属工作，负责烈士及退役军人荣誉奖励、军人公墓维护以及纪念活动等。 　　7 全军首次面向社会公开招考文职人员  　　据《解放军报》7月11日报道，经中央军委批准，中央军委政治工作部部署展开深化国防和军队改革以来全军首次面向社会公开招考文职人员工作。这次公开招考，积极适应新的文职人员制度重塑重构特点要求，以新修订的《中国人民解放军文职人员条例》及配套政策为依据，坚持需求牵引，服务部队急需，主要招录一批主干专业系列、重点关键岗位文职人员。 　　8 《中华人民共和国英雄烈士保护法》颁布  　　4月27日，十三届全国人大常委会第二次会议全票表决通过英雄烈士保护法，自2018年5月1日起施行。这部法律从行政、民事和刑事方面加强对英雄烈士姓名、肖像、名誉、荣誉的保护，建立了侵害英雄烈士名誉荣誉的公益诉讼制度。制定英烈保护法，表明了我们捍卫英雄烈士的鲜明价值导向。 　　9 全国交通运输行业军人依法优先工作格局形成  　　11月，国家交通运输部、中央军委后勤保障部联合部署在全国道路客运领域开展军人依法优先出行权益保障工作。自2018年12月1日起，全国汽车客运站、道路客运班线经营者在购票、安检、候车、乘车等环节，对军人提供依法优先服务。此举标志着全国铁路、公路、水路、航空等交通运输行业立体化的军人依法优先工作格局形成。 　　10 我国第二艘航母首次出海试验 ,2018-12-29 08:33,http://mil.huanqiu.com/world/2018-12/13924645.html,chinese,南海争端
8,huanqio-2019-08-08 08:46-8,美又借“航母外交”搅闹南海 蓄意制造地区摩擦,"　　【环球时报报道 特约记者 石留风】美国《军事时报》《海军时报》网站7日报道称，美军""里根""号核动力航母周二驶入南海海域，试图通过""秀肌肉""的方式，展示美国在南海的军事存在，拉拢部分南海主权声索国与中国作对。 　　美媒称，""里根""号航母共搭载70多架舰载战斗机、侦察机和直升机，在南海国际海域进行巡航，访问了菲律宾首都马尼拉，邀请部分菲方军官和记者登舰，观看舰载机飞行表演。美军舰艇在距离航母几英里处全程承担护航任务。美海军少将卡尔·托马斯在接受采访时（如图）强调，美航母的座右铭是""有力量才有和平""，""里根""号驶入南海，有助于促进南海区域安全和稳定，也希望借此为区域外交对话提供安全保障。 　　在""里根""号驶入南海的同时，美国海军、海军陆战队和海岸警卫队同印尼海军、海军陆战队一起，自上周四起开始举行年度""克拉""协同演习。双方主要在印尼泗水港进行海上搜索、扣押、潜水、打捞和岸上爆炸物处理、丛林战等演习科目，数百名美国和印尼军人参加了这次演习。",2019-08-08 08:46,http://mil.huanqiu.com/world/2019-08/15267531.html,chinese,南海争端
9,huanqio-2019-07-05 19:33-9,社评：美篡改解放军信息试图搅局南海,"　　美国国防部本周宣称，解放军从南沙群岛“人造设施”发射了多枚导弹，美方所说的“人造设施”指的是中国经过建设的南沙岛礁。五角大楼称，中国“旨在恐吓”其他南海声索国。 　　美国散布上述消息后，菲律宾表示他们将调查了解此事，马尼拉不会依赖任何消息来源。越南则做出将“密切关注”此事的一般性原则表态。跟随美国最紧的是澳大利亚，澳国防部不仅表示“担心”，而且称这些试射将“加剧这条关键的国际航道的紧张局势”。 　　然而中国国防部官员星期五对环球时报说，解放军近日根据年度训练计划安排，在海南岛附近海域组织了实弹射击演练，不针对任何国家和特定目标。消息人士对环球时报解读说，解放军的这次演练早就对外正式公布，这期间的实弹射击如果包括发射导弹的科目是完全正常的。而美方声称的解放军“从人造岛礁发射导弹”，是一种恶意的误导，实弹射击不在南沙群岛的中国岛礁附近，美方所指的发射地点是无中生有的编造，意在挑拨地区内的国家关系。 　　南海地区经常有各国的军事演习乃至联合军事演习，南海迄今出现的最大军事装备是美国的核动力航母，美在南海周边国家还有多个军事基地，美国的南海外交是以它的海军为基础的。如果说南海有军事化的动向，那么美国是当之无愧的“引领者”。
 　　中国在南海非争议水域以确保安全的方式搞正常导弹试射，这有恐吓其他国家的意思吗？要知道中国根本就没有单独发布试射导弹的消息，怎么能够恐吓其他国家呢？发布这一消息的是美国国防部，而且明显篡改了发射地点，把海南岛附近海域安在了南沙的“中国人造岛礁”，想要以此恐吓南海国家的难道不是华盛顿吗？
 　　南海一段时间以来相对风平浪静，中国正与东盟加快制定《南海行为准则》的进程，各国近几年围绕领土争端保持了克制，加强了对分歧的管控。各方都希望地区局势不要被海上分歧主导，更愿意和平与合作长期成为南海地区国家关系的主旋律。
 　　美国是南海地区充满恶意的搅局者。华盛顿不断发动舆论攻势，用捏造、篡改事实等手段抖出一个又一个“中国破坏地区安全”的包袱。华盛顿就是在吓唬地区内的国家，为其增加在南海地区的军事活动制造借口，将它的霸权主义行径包装成保护地区小国权益的“正义之举”。
 　　稍微留意一下就会发现，南海地区同军事有关的各种信息绝大部分都是华盛顿生产并散播出来的。由于地区内国家对此逐渐有了警惕，不愿意跟风，华盛顿就搬域外盟友给自己当啦啦队，所以我们不时听到美国欧洲盟友要来南海宣示“航行自由”的怪异信息。那些与南海八竿子打不着的国家说这种话时，真是滑稽极了。
 　　澳大利亚比英国等离南海稍微近点，成了美国南海政策最积极的应声虫。堪培拉不过是在向华盛顿表效忠而已，它对南海的每一次发声与其说是在呵护和平，不如说是察言观色瞄准目标和机会的碰瓷。它经常身子在外面，从门缝伸进一个脑袋，冲房间里大喊大叫。
",2019-07-05 19:33,http://opinion.huanqiu.com/editorial/2019-07/15098203.html,chinese,南海争端
10,huanqio-2019-03-08 04:00-10,美海军上将指责中国“在南海活动增加”  专家：贼喊捉贼,"　　【环球时报记者 白云怡】据彭博社7日援引美国高级军官的话称，美国观察到中国在南海地区的军事活动在过去一年内有所增加。 　　彭博社报道称，这一言论来自美国印太司令部司令、海军上将菲利普·戴维森。7日，他在新加坡被问及该话题时称，中国正在南海继续军事建设，“没有任何意义上的减少”，“毫无疑问，在过去一年中，船只、战斗机和轰炸机的活动比前几年多。”他同时称，“这对贸易流动、商业活动以及在南海海底电缆上流动的金融信息构成巨大威胁。”。 　　不过，戴维森拒绝对所谓“中国军事活动增加”进行具体量化，也没有表明美国在该地区“自由航行”的数量将增加还是与以往保持一样。他只强调，美国决心继续保持在该地区的存在，是一个“太平洋上的持久力量”。彭博社评论称，戴维森的表态是美国高级官员最近一次试图安抚其东南亚盟友，向它们保证华盛顿方面有关印太战略的承诺。 　　海南师范大学菲律宾研究中心主任刘锋7日在接受《环球时报》采访时表示，戴维森此番言论完全是本末倒置、贼喊捉贼。“显而易见，美国是所谓南海军事化的最大推手，美军舰机在南海频频出入，大秀军事肌肉，已经成为影响南海局势稳定的重大负面因素。”刘锋表示，“明眼人都能看出，美军少来滋事，南海其实更安宁。联系到戴维森此前口无遮拦经常放狠话，其实也就见怪不怪了，其无非是为美在南海和亚太地区增加军事部署寻找借口罢了，一点都不新鲜。”
",2019-03-08 04:00,http://world.huanqiu.com/exclusive/2019-03/14493290.html,chinese,南海争端
11,huanqio-2019-02-21 07:55-11,专家：派航母闯南海，折射脱欧英国的“思想混乱”,"　　 　　张蓓中国国际问题研究院欧洲所   　　近日， 　　英国国防大臣加文•威廉姆森在英国皇家三军联合研究所发表演讲，阐述 　　脱欧时代“全球英国”的战略设想。他提到载有两个中队F-35B隐形战斗机中队的“伊丽莎白女王”号 　　航母将被送往太平洋“有争议”的水域展示“硬实力”。这已不是威廉姆森第一次提出要在亚太地区“秀肌肉”来展示“全球英国”的雄心。去年，他还提出要在太平洋地区的新加坡或文莱建立一个军事基地，以提振后脱欧时代英国的全球影响力。       　　然而，尽管防长威廉姆森“豪情万丈”，脱欧时代英国政治的现实却让他底气不足。从国家政策的优先程度看，渡过眼前脱欧这一难关已让英国精疲力竭。此前政府经验有限的威廉姆森被擢升至防务大臣这一重要岗位，也是拜脱欧产生的巨大政治内耗所赐，他对此心知肚明。
 　　目前，英国脱欧仍处于“双重僵局之中”。一方面，特蕾莎•梅首相的脱欧方案A和方案B均被议会否决，下一步，脱欧的主导权和脱欧路线均是斗争焦点。另一方面，英国政府与布鲁塞尔在北爱尔兰后备方案上进行“零和博弈”，双方均没有让步的迹象。
 　　而英国发挥全球影响力的能力也已受到脱欧带来的负面影响。英国虽然是北约国家中为数不多的满足国防预算占GDP2%的国家，但近段时间以来国防预算也持续紧张。而对外援助这一英国引以为傲、发挥影响力的政策工具也面临预算缩减的压力。
 　　为了实现脱欧后“全球英国”的雄心，英国需要办好两件事。第一是确保脱欧的有序和平稳。如前文所述，这一点已证明比想象中困难。距离脱欧最后期限仅有40多天，脱欧协议都没有通过，英国“无协议脱欧”的风险正在上升。
 　　第二件事是为脱欧后英国的全球战略做好谋划。一些现实且在英国国内有共识的观点是首先稳固传统盟友美国和欧洲，维护好“英美特殊关系”，增加在欧洲国家的外交投入，弥补脱欧为英国在欧盟影响力的损失；其次加深与日本、澳大利亚等规模相当、“灵魂契合”的国家之间的纽带；最后继续“向东看”的进程，与中国、印度、印度尼西亚等新兴市场国家加大合作。
 　　然而在英国眼中，中国绝非仅仅是新兴市场那么简单。英国上一届政府曾承诺要做“中国在西方最坚定的支持者”，并以率先加入亚投行、在对华合作中采取积极态度为行动。这背后折射出，英国一部分的执政精英愿意以姿态灵活、心态开放、政策务实的态度应对中国的发展和在国际体系中实力的增长。
 　　然而，英国统一而连贯的中国认知和政策远未成型，而英国脱欧以及中美博弈加剧了英国寻找答案的难度。从这个角度看，防长威廉姆森的言论只能算作英国对这一重大命题“头脑风暴”中的一种观点，且并不是主流观点。就在威廉姆森的豪言壮语出来不久，就被英国政府内部人士怒批是一番“愚蠢讲话”。
 　　脱欧后的英国需要加深与世界大国的经贸纽带，中国是英国最重视的对象之一。也因为这一点，英国财政部一直注意与防务大臣的论调保持距离，坚持对华务实合作。但合作归合作，英国自认为在价值观无法认同中国，又总有“讨好”美国、“荣耀”自己的私心，这也导致英国对华政策的主旋律虽是积极合作，却时常出现不和谐的杂音。
",2019-02-21 07:55,http://oversea.huanqiu.com/article/2019-02/14367368.html,chinese,南海争端
